Date,Close,High,Low,Open,Volume,sma_5
2020-01-01,1.1220825910568235,1.1228384971618652,1.115946888923645,1.1220825910568235,0,
2020-01-02,1.1220825910568235,1.12271249294281,1.116682052612305,1.1218937635421753,0,
2020-01-03,1.1171437501907349,1.118067979812622,1.112569808959961,1.1170812845230105,0,
2020-01-06,1.1161960363388062,1.120824933052063,1.1158099174499512,1.1162458658218384,0,
2020-01-07,1.1197994947433472,1.1199462413787842,1.1134865283966064,1.1195825338363647,0,1.119460892677307
2020-01-08,1.1154738664627075,1.1165200471878052,1.111086368560791,1.1155734062194824,0,1.1181391477584839
2020-01-09,1.1113210916519165,1.1122233867645264,1.1095085144042969,1.1114444732666016,0,1.1159868478775024
2020-01-10,1.1111111640930176,1.1120996475219729,1.108622908592224,1.1109259128570557,0,1.114780330657959
2020-01-13,1.111666917800903,1.114466905593872,1.1114075183868408,1.1116546392440796,0,1.1138745069503782
2020-01-14,1.1135733127593994,1.1145787239074707,1.11055588722229,1.1134493350982666,0,1.112629270553589
2020-01-15,1.113089919090271,1.1163455247879028,1.112025499343872,1.1129660606384275,0,1.1121524810791015
2020-01-16,1.1154004335403442,1.117193579673767,1.112978458404541,1.1152697801589966,0,1.112968349456787
2020-01-17,1.1139578819274902,1.1145004034042358,1.1087580919265747,1.113800287246704,0,1.1135376930236816
2020-01-20,1.1094592809677124,1.1104941368103027,1.1077508926391602,1.1095207929611206,0,1.1130961656570435
2020-01-21,1.109693169593811,1.1119760274887085,1.1086474657058716,1.1096439361572266,0,1.1123201370239257
2020-01-22,1.108561396598816,1.1097793579101562,1.1071622371673584,1.1085859537124634,0,1.1114144325256348
2020-01-23,1.1096439361572266,1.1103215217590332,1.1037039756774902,1.1097548007965088,0,1.1102631330490111
2020-01-24,1.1055220365524292,1.1060845851898191,1.1021226644515991,1.105534315109253,0,1.108575963973999
2020-01-27,1.102535843849182,1.103996515274048,1.1010063886642456,1.1026331186294556,0,1.107191276550293
2020-01-28,1.101976990699768,1.102657437324524,1.099855899810791,1.101964831352234,0,1.1056480407714844
2020-01-29,1.1022562980651855,1.1030223369598389,1.099323868751526,1.102292776107788,0,1.1043870210647584
2020-01-30,1.1016855239868164,1.1036553382873535,1.1008244752883911,1.101406455039978,0,1.1027953386306764
2020-01-31,1.1029127836227417,1.1090162992477417,1.1017948389053345,1.1028763055801392,0,1.1022734880447387
2020-02-03,1.1089794635772705,1.108905553817749,1.104349970817566,1.108905553817749,0,1.1035622119903565
2020-02-04,1.1062926054000854,1.1065618991851809,1.1033873558044434,1.1062926054000854,0,1.1044253349304198
2020-02-05,1.1047282218933103,1.1048502922058103,1.0998317003250122,1.104472041130066,0,1.104919719696045
2020-02-06,1.100231051445007,1.1012852191925049,1.0965512990951538,1.1000494956970217,0,1.104628825187683
2020-02-07,1.0982975959777832,1.0986994504928589,1.0946906805038452,1.0981045961380005,0,1.1037057876586913
2020-02-10,1.0949305295944214,1.0961307287216189,1.090959906578064,1.0948705673217771,0,1.1008960008621216
2020-02-11,1.0913456678390503,1.0927003622055054,1.089348316192627,1.091226577758789,0,1.0979066133499145
2020-02-12,1.091941475868225,1.0924997329711914,1.0887079238891602,1.0921800136566162,0,1.0953492641448974
2020-02-13,1.0875948667526243,1.0890873670578003,1.0835527181625366,1.0876421928405762,0,1.0928220272064206
2020-02-14,1.0845986604690552,1.0862481594085691,1.0831302404403689,1.0845986604690552,0,1.0900822401046752
2020-02-17,1.0841753482818604,1.0854003429412842,1.0830246210098269,1.0840578079223633,0,1.0879312038421631
2020-02-18,1.0840108394622805,1.0839003324508667,1.078690528869629,1.0837054252624512,0,1.086464238166809
