Date,Close,High,Low,Open,Volume,diff_close,diff_high,diff_low,diff_open,diff_volume,pct_change_close,pct_change_high,pct_change_low,pct_change_open,pct_change_volume,log_return,sma_5,sma_10,sma_20,sma_50,ema_5,ema_10,ema_20,ema_50,rsi,bb_upper,bb_mid,bb_lower,bb_width,bb_position,macd,macd_signal,macd_diff,adx,adx_neg,adx_pos,cmf,momentum,roc,atr,stoch_k,stoch_d,williams_r,obv,force_index,cci,sma_200,price_sma200_ratio,ema_12,ema_26,ema_12_26_ratio,high_low_ratio,close_open_ratio
2020-10-06,1.1792453527450562,1.1807351112365725,1.1767336130142212,1.178828239440918,0,0.007200956344604492,0.001072525978088379,0.004803180694580078,0.006632685661315918,0.0,0.006143927966141716,0.0009091802956973094,0.004098520323491339,0.005658343985292857,0.0,0.006125130992924238,1.1745194673538208,1.1708031058311463,1.1765182077884675,1.1805262804031371,1.1745553174118164,1.1740769987150115,1.1757170346471082,1.1720095876754915,53.191214895039394,1.1903681190620774,1.1765182077884675,1.1626682965148576,0.02354389618779288,0.5984535172360653,-0.0017099487151588377,-0.0016613556689427538,-4.85930462160839e-05,17.38810096469642,18.746116157795527,18.769432495890527,0.0,0.20779572827981035,-0.4705105377396961,0.008575635965650181,68.96532718479155,51.46186084327663,-31.034672815208456,0,0.0,24.239512222195795,1.1257774066925048,1.0474942432977388,1.1743747051531348,1.1760846538682936,0.998546066637691,1.0034005132326436,1.0003538372174865
2020-10-07,1.1737639904022217,1.178139328956604,1.172540545463562,1.173736572265625,0,-0.005481362342834473,-0.0025957822799684838,-0.00419306755065918,-0.005091667175292969,0.0,-0.004648194991886068,-0.002198445913283553,-0.003563310764888028,-0.004319261284161158,0.0,-0.0046590314432261234,1.1744312524795533,1.1710958242416383,1.1763551831245422,1.1805639696121215,1.1742915417419515,1.1740200881126859,1.1755310304333095,1.172078387782422,47.90140056749773,1.190254090050952,1.1763551831245422,1.1624562761981325,0.023630459789351257,0.40678429836101154,-0.001632003833197171,-0.0016554853017936373,2.3481468596466427e-05,16.792921097658773,21.23044177379431,17.704642930002777,0.0,0.2500078652443861,-0.9108407031108952,0.008442005345353321,47.84609660988146,52.167457804187165,-52.15390339011854,0,0.0,-17.392119277288117,1.126035813689232,1.0423860201716124,1.1742807490376097,1.1759127528708069,0.9986121386733727,1.0047749167520927,1.0000233597020358
2020-10-08,1.176747441291809,1.178133845329285,1.173529863357544,1.1765536069869995,0,0.0029834508895874023,-5.483627319113893e-06,0.0009893178939819336,0.0028170347213745117,0.0,0.0025417808980194856,-4.654481167376545e-06,0.0008437387498534399,0.0024000570382984865,0.0,0.002538556036391257,1.1752591609954834,1.1721851229667664,1.1761606752872467,1.1805331873893739,1.1751101749252375,1.1745159705088901,1.1756468790865,1.172261487920045,50.771095651559435,1.1899226242171823,1.1761606752872467,1.162398726357311,0.023401477738702076,0.5213184196348113,-0.0013143414890925964,-0.0015872565392534292,0.00027291505016083283,16.24025407826667,20.375657968755345,16.991815462170987,0.0,0.9343350890439108,-0.004467309324398985,0.008167860818666722,59.341083313047434,58.71750236924015,-40.658916686952566,0,0.0,1.0702105859914761,1.1263091379404069,1.0447819356625614,1.1746602401536403,1.175974581642733,0.9988823385219291,1.0039231911479174,1.0001647475335238
2020-10-09,1.1767003536224363,1.1824523210525513,1.1758756637573242,1.1767059564590454,0,-4.708766937278064e-05,0.0043184757232663795,0.0023458003997802734,0.00015234947204589844,0.0,-4.0015102408919034e-05,0.0036655221648940195,0.00199892688974157,0.00012948791380273939,0.0,-4.001590303448758e-05,1.1757003068923948,1.173122727870941,1.1758737683296203,1.1803226852416993,1.1756402344909707,1.1749131310749894,1.1757472099946844,1.1724355610848447,50.72360667424295,1.1893362357111998,1.1758737683296203,1.1624113009480408,0.02289781053744152,0.5306996210050985,-0.0010542387658940555,-0.0014806529845815546,0.00042641421868749906,15.198012283213469,19.18724816093728,19.83060136577403,0.0,0.8032085860763236,0.500799709540833,0.008054203424135317,72.74786223411961,59.97834738568284,-27.252137765880388,0,0.0,31.541143539093802,1.1266069209575653,1.0444639844945154,1.1749741037642243,1.1760283425301183,0.9991035600692871,1.005592986995081,0.9999952385414739
2020-10-12,1.181683897972107,1.182732105255127,1.1788004636764526,1.1813349723815918,0,0.004983544349670632,0.0002797842025756836,0.002924799919128418,0.004629015922546387,0.0,0.004235185563027155,0.0002366135171747441,0.0024873377426510856,0.003933876511066581,0.0,0.0042262424063774584,1.1776282072067261,1.174937629699707,1.175744318962097,1.1803917431831359,1.177654788984683,1.176144179601738,1.1763126088496771,1.1727982409627764,55.470800704334884,1.1889281532861977,1.175744318962097,1.1625604846379964,0.022426362792445954,0.7252599230237609,-0.0004408927666521567,-0.0012727009409956751,0.0008318081743435184,14.278000178982344,18.142129117745093,19.003097077563353,0.0,1.5598172950845033,1.3577547245901376,0.007909742581889269,95.09868952792905,75.7292116916987,-4.901310472070947,0,0.0,70.51315595683808,1.1269343602657318,1.048582721085428,1.1760063797962061,1.1764472725628583,0.999625233721107,1.0033352901528494,1.0002953654963855
2020-10-13,1.1816140413284302,1.1814186573028564,1.1735711097717283,1.1814186573028564,0,-6.985664367675781e-05,-0.0013134479522705078,-0.005229353904724343,8.368492126464844e-05,0.0,-5.911618479070846e-05,-0.0011105202492048827,-0.004436165462995301,7.083928201656597e-05,0.0,-5.911793222122852e-05,1.178101944923401,1.1763107061386109,1.1754750192165375,1.1804973793029785,1.1789745397659321,1.1771386999156819,1.176817507180987,1.1731439586241745,55.39024701361839,1.187927966334338,1.1754750192165375,1.163022072098737,0.02118794004844189,0.7464887248704923,3.9100779887002446e-05,-0.0010103405968191397,0.001049441376706142,13.972691049205816,21.52913139902607,17.613437092971747,0.0,1.175696635114217,1.2241445407816365,0.007924245840352794,94.77204697855642,87.53953291353503,-5.227953021443581,0,0.0,52.19319981033939,1.1272434329986571,1.0482332446906681,1.1768690969550097,1.1768299961751227,1.0000332255126179,1.006686895634858,1.000165380853236
2020-10-14,1.1742188930511477,1.177024483680725,1.1721680164337158,1.1743981838226318,0,-0.007395148277282493,-0.004394173622131348,-0.0014030933380124733,-0.007020473480224609,0.0,-0.006258514217526101,-0.0037194042898925916,-0.00119557590190289,-0.005942409523354009,0.0,-0.006278180816362914,1.178192925453186,1.1763120889663696,1.174963903427124,1.1803508710861206,1.1773893241943374,1.1766078259403119,1.1765700201210023,1.1731861129154284,47.52259706698271,1.1867226445942718,1.174963903427124,1.1632051622599762,0.02001549346809723,0.4683209977417589,-0.00017520785140989759,-0.0008433140477372913,0.0006681061963273937,13.905350913641827,20.968445881451185,16.134020764141983,0.0,0.0011776714309079729,0.9182374807360271,0.008032944344235763,60.19308699505681,83.35460783384742,-39.80691300494319,0,0.0,-2.128828169218286,1.1275371581315994,1.0414015046713874,1.1764613732774925,1.1766365811289023,0.9998510943359913,1.0041431494281723,0.9998473339162527
2020-10-15,1.1743981838226318,1.1760554313659668,1.1690163612365725,1.17475688457489,0,0.00017929077148415296,-0.0009690523147583008,-0.0031516551971433326,0.00035870075225807874,0.0,0.0001526893942391805,-0.0008233068455194559,-0.0026887401404553923,0.0003054336741994401,0.0,0.00015267773840009084,1.1777230739593505,1.176491117477417,1.174666565656662,1.1800931978225708,1.176392277403769,1.1762060728280064,1.1763631785687765,1.1732336451078678,47.71649454393277,1.1861638372158094,1.174666565656662,1.1631692940975145,0.01957537891226227,0.4883284554666113,-0.00032681440582416066,-0.0007400141193546651,0.0004131997135305045,14.310121347561815,22.47173060892373,15.11517077945057,0.0,0.1526755117750658,0.5578388707057272,0.007961953328889946,60.43263190065993,71.79925529142439,-39.56736809934007,0,0.0,-18.68253058795799,1.127852543592453,1.0412692603253977,1.1761439595152061,1.1764707739210303,0.9997222077988942,1.006021361516231,0.9996946595870447
2020-10-16,1.1707134246826172,1.1746740341186523,1.169494867324829,1.1705764532089231,0,-0.0036847591400146484,-0.0013813972473144531,0.0004785060882566139,-0.004180431365966797,0.0,-0.003137572239784059,-0.001174602157748672,0.000409323687951213,-0.003558550216523848,0.0,-0.0031425047396492416,1.1765256881713868,1.176112997531891,1.1739612340927124,1.1797544980049133,1.1744993264967185,1.1752074095288445,1.1758251067700947,1.1731348129343284,44.10932858920936,1.1845774516150678,1.1739612340927124,1.163345016570357,0.018086146652977156,0.34703547175554766,-0.0007358109891890674,-0.0007391734933215456,3.362504132478194e-06,14.685979607630372,21.40088078783874,14.394884558218635,0.0,-0.32194267879572186,-0.2973620362994883,0.007763182862099467,25.234337921214998,48.620018938977246,-74.765662078785,0,0.0,-36.14266926101391,1.128150554895401,1.0377280050100783,1.1753084926178847,1.1760443036070738,0.9993743339541442,1.0044285502557786,1.0001170119844105
2020-10-19,1.171550154685974,1.179523468017578,1.1704941987991333,1.1715638637542725,0,0.0008367300033567115,0.004849433898925559,0.0009993314743041992,0.0009874105453493431,0.0,0.0007147180392019781,0.0041283230565014595,0.0008544983840674814,0.0008435250364404734,0.0,0.00071446274989687,1.17449893951416,1.1760635733604432,1.173311072587967,1.1796200466156006,1.1735162692264702,1.174542454102868,1.1754179684763688,1.1730726694736087,45.123806262979095,1.1827840427712772,1.173311072587967,1.1638381024046567,0.01614741461940829,0.407055661111681,-0.0009811169047861945,-0.0007875621756144754,-0.00019355472917171907,14.02417068012181,19.643416675095512,17.623315817573058,0.0,-0.0421691973440308,-0.0902044091077669,0.007853617601838404,20.839029824292084,35.50199988205568,-79.16097017570792,0,0.0,12.177666196394497,1.1284499710798264,1.0381941465822402,1.174730286782206,1.1757114036869922,0.9991655121301797,1.007714065757616,0.9999882984882662
