Date,Close,High,Low,Open,Volume,diff_close,diff_high,diff_low,diff_open,diff_volume,pct_change_close,pct_change_high,pct_change_low,pct_change_open,pct_change_volume,log_return
2020-01-01,1.1220825910568235,1.1228384971618652,1.115946888923645,1.1220825910568235,0,,,,,,,,,,,
2020-01-02,1.1220825910568235,1.12271249294281,1.116682052612305,1.1218937635421753,0,0.0,-0.00012600421905517578,0.00073516368865989,-0.00018882751464821546,0.0,0.0,-0.00011221936135397126,0.0006587801766884116,-0.00016828308018790317,,0.0
2020-01-03,1.1171437501907349,1.118067979812622,1.112569808959961,1.1170812845230105,0,-0.004938840866088645,-0.004644513130187988,-0.004112243652343972,-0.004812479019164817,0.0,-0.004401494957191221,-0.0041368677728115255,-0.0036825555158910284,-0.0042896031474231044,,-0.004411210053900604
2020-01-06,1.1161960363388062,1.120824933052063,1.1158099174499512,1.1162458658218384,0,-0.0009477138519287109,0.002756953239440918,0.0032401084899902344,-0.000835418701172097,0.0,-0.0008483365294456036,0.0024658189745341286,0.0029122743255267647,-0.0007478584707726332,,-0.0008486965705175967
2020-01-07,1.1197994947433472,1.1199462413787842,1.1134865283966064,1.1195825338363647,0,0.0036034584045410156,-0.0008786916732788086,-0.0023233890533447266,0.003336668014526367,0.0,0.003228338291148658,-0.0007839687067685563,-0.002082244490759333,0.002989187343658939,,0.0032231383954302996
2020-01-08,1.1154738664627075,1.1165200471878052,1.111086368560791,1.1155734062194824,0,-0.0043256282806396484,-0.003426194190979004,-0.0024001598358154297,-0.004009127616882324,0.0,-0.0038628596467005227,-0.003059248796407399,-0.0021555355853937197,-0.0035809129704307274,,-0.00387033975832015
2020-01-09,1.1113210916519165,1.1122233867645264,1.1095085144042969,1.1114444732666016,0,-0.004152774810791016,-0.004296660423278809,-0.0015778541564941406,-0.004128932952880859,0.0,-0.0037228795184237606,-0.0038482608835379573,-0.0014201003640589294,-0.0037011754940208252,,-0.0037298266820401005
2020-01-10,1.1111111640930176,1.1120996475219729,1.108622908592224,1.1109259128570557,0,-0.00020992755889892578,-0.0001237392425534889,-0.000885605812072976,-0.0005185604095458984,0.0,-0.0001888991043865751,-0.00011125394774647024,-0.0007981964992386237,-0.0004665643871725189,,-0.0001889169480695333
2020-01-13,1.111666917800903,1.114466905593872,1.1114075183868408,1.1116546392440796,0,0.0005557537078855201,0.002367258071899192,0.0027846097946169213,0.0007287263870239258,0.0,0.0005001783132465576,0.0021286384517555934,0.0025117736364954624,0.0006559630832174701,,0.0005000532657696564
2020-01-14,1.1135733127593994,1.1145787239074707,1.11055588722229,1.1134493350982666,0,0.0019063949584963158,0.00011181831359863281,-0.0008516311645507812,0.0017946958541870117,0.0,0.0017148976262311155,0.00010033345363358315,-0.0007662636345909801,0.0016144365262644733,,0.0017134288682368716
